DATETIME,NODE_PM,Peak CPU usage,Average memory usage
07/10/20 00,GGSN_BREST,36,51
07/10/20 01,GGSN_BREST,33,51
07/10/20 02,GGSN_BREST,34,51
07/10/20 03,GGSN_BREST,26,51
07/10/20 04,GGSN_BREST,35,51
07/10/20 05,GGSN_BREST,26,51
07/10/20 06,GGSN_BREST,33,51
07/10/20 07,GGSN_BREST,31,51
07/10/20 08,GGSN_BREST,36,51
07/10/20 09,GGSN_BREST,35,51
07/10/20 10,GGSN_BREST,35,51
07/10/20 11,GGSN_BREST,41,51
07/10/20 12,GGSN_BREST,39,51
07/10/20 13,GGSN_BREST,38,51
07/10/20 14,GGSN_BREST,39,51
07/10/20 15,GGSN_BREST,40,51
07/10/20 16,GGSN_BREST,37,51
07/10/20 17,GGSN_BREST,42,51
07/10/20 18,GGSN_BREST,44,51
07/10/20 19,GGSN_BREST,43,51
07/10/20 20,GGSN_BREST,43,51
07/10/20 21,GGSN_BREST,44,51
07/10/20 22,GGSN_BREST,41,51
07/10/20 23,GGSN_BREST,38,51
08/10/20 00,GGSN_BREST,34,51
08/10/20 01,GGSN_BREST,26,51
08/10/20 02,GGSN_BREST,38,51
08/10/20 03,GGSN_BREST,26,51
08/10/20 04,GGSN_BREST,34,51
08/10/20 05,GGSN_BREST,33,51
08/10/20 06,GGSN_BREST,35,51
08/10/20 07,GGSN_BREST,35,51
08/10/20 08,GGSN_BREST,34,51
08/10/20 09,GGSN_BREST,36,51
08/10/20 10,GGSN_BREST,37,51
08/10/20 11,GGSN_BREST,37,51
08/10/20 12,GGSN_BREST,41,51
08/10/20 13,GGSN_BREST,43,51
08/10/20 14,GGSN_BREST,39,51
08/10/20 15,GGSN_BREST,40,51
08/10/20 16,GGSN_BREST,44,51
08/10/20 17,GGSN_BREST,38,51
08/10/20 18,GGSN_BREST,41,51
08/10/20 19,GGSN_BREST,42,51
08/10/20 20,GGSN_BREST,49,51
08/10/20 21,GGSN_BREST,45,51
08/10/20 22,GGSN_BREST,50,51
08/10/20 23,GGSN_BREST,42,51
09/10/20 00,GGSN_BREST,31,51
09/10/20 01,GGSN_BREST,36,51
09/10/20 02,GGSN_BREST,26,51
09/10/20 03,GGSN_BREST,35,51
09/10/20 04,GGSN_BREST,29,51
09/10/20 05,GGSN_BREST,34,51
09/10/20 06,GGSN_BREST,35,51
09/10/20 07,GGSN_BREST,35,51
09/10/20 08,GGSN_BREST,35,51
09/10/20 09,GGSN_BREST,39,51
09/10/20 10,GGSN_BREST,39,51
09/10/20 11,GGSN_BREST,39,51
09/10/20 12,GGSN_BREST,37,51
09/10/20 13,GGSN_BREST,37,51
09/10/20 14,GGSN_BREST,39,51
09/10/20 15,GGSN_BREST,40,51
09/10/20 16,GGSN_BREST,43,51
09/10/20 17,GGSN_BREST,40,51
09/10/20 18,GGSN_BREST,41,51
09/10/20 19,GGSN_BREST,40,51
09/10/20 20,GGSN_BREST,41,51
09/10/20 21,GGSN_BREST,42,51
09/10/20 22,GGSN_BREST,44,51
09/10/20 23,GGSN_BREST,38,51
10/10/20 00,GGSN_BREST,35,51
10/10/20 01,GGSN_BREST,31,51
10/10/20 02,GGSN_BREST,34,51
10/10/20 03,GGSN_BREST,32,51
10/10/20 04,GGSN_BREST,29,51
10/10/20 05,GGSN_BREST,34,51
10/10/20 06,GGSN_BREST,31,51
10/10/20 07,GGSN_BREST,35,51
10/10/20 08,GGSN_BREST,31,51
10/10/20 09,GGSN_BREST,36,51
10/10/20 10,GGSN_BREST,36,51
10/10/20 11,GGSN_BREST,40,51
10/10/20 12,GGSN_BREST,41,51
10/10/20 13,GGSN_BREST,40,51
10/10/20 14,GGSN_BREST,43,51
10/10/20 15,GGSN_BREST,41,51
10/10/20 16,GGSN_BREST,38,51
10/10/20 17,GGSN_BREST,39,51
10/10/20 18,GGSN_BREST,37,51
10/10/20 19,GGSN_BREST,40,51
10/10/20 20,GGSN_BREST,41,51
10/10/20 21,GGSN_BREST,45,51
10/10/20 22,GGSN_BREST,42,51
10/10/20 23,GGSN_BREST,38,51
11/10/20 00,GGSN_BREST,34,51
11/10/20 01,GGSN_BREST,35,51
11/10/20 02,GGSN_BREST,26,51
11/10/20 03,GGSN_BREST,34,51
11/10/20 04,GGSN_BREST,29,51
11/10/20 05,GGSN_BREST,33,51
11/10/20 06,GGSN_BREST,35,51
11/10/20 07,GGSN_BREST,34,51
11/10/20 08,GGSN_BREST,36,51
11/10/20 09,GGSN_BREST,31,51
11/10/20 10,GGSN_BREST,46,51
11/10/20 11,GGSN_BREST,40,51
11/10/20 12,GGSN_BREST,38,51
11/10/20 13,GGSN_BREST,41,51
11/10/20 14,GGSN_BREST,40,51
11/10/20 15,GGSN_BREST,44,51
11/10/20 16,GGSN_BREST,42,51
11/10/20 17,GGSN_BREST,44,51
11/10/20 18,GGSN_BREST,43,51
11/10/20 19,GGSN_BREST,44,51
11/10/20 20,GGSN_BREST,46,51
11/10/20 21,GGSN_BREST,47,51
11/10/20 22,GGSN_BREST,44,51
11/10/20 23,GGSN_BREST,40,51
12/10/20 00,GGSN_BREST,39,51
12/10/20 01,GGSN_BREST,27,51
12/10/20 02,GGSN_BREST,41,51
12/10/20 03,GGSN_BREST,25,51
12/10/20 04,GGSN_BREST,34,51
12/10/20 05,GGSN_BREST,34,51
12/10/20 06,GGSN_BREST,25,51
12/10/20 07,GGSN_BREST,36,51
12/10/20 08,GGSN_BREST,32,51
12/10/20 09,GGSN_BREST,37,51
12/10/20 10,GGSN_BREST,41,51
12/10/20 11,GGSN_BREST,42,51
12/10/20 12,GGSN_BREST,40,51
12/10/20 13,GGSN_BREST,46,51
12/10/20 14,GGSN_BREST,42,51
12/10/20 15,GGSN_BREST,40,51
12/10/20 16,GGSN_BREST,45,51
12/10/20 17,GGSN_BREST,41,51
12/10/20 18,GGSN_BREST,42,51
12/10/20 19,GGSN_BREST,41,51
12/10/20 20,GGSN_BREST,43,51
12/10/20 21,GGSN_BREST,49,51
12/10/20 22,GGSN_BREST,43,51
12/10/20 23,GGSN_BREST,39,51
13/10/20 00,GGSN_BREST,33,51
13/10/20 01,GGSN_BREST,35,51
13/10/20 02,GGSN_BREST,35,51
13/10/20 03,GGSN_BREST,35,51
13/10/20 04,GGSN_BREST,41,51
13/10/20 05,GGSN_BREST,32,51
13/10/20 06,GGSN_BREST,36,51
13/10/20 07,GGSN_BREST,35,51
13/10/20 08,GGSN_BREST,36,51
13/10/20 09,GGSN_BREST,35,51
13/10/20 10,GGSN_BREST,35,51
13/10/20 11,GGSN_BREST,40,51
13/10/20 12,GGSN_BREST,41,51
13/10/20 13,GGSN_BREST,40,51
13/10/20 14,GGSN_BREST,40,51
13/10/20 15,GGSN_BREST,38,51
13/10/20 16,GGSN_BREST,44,51
13/10/20 17,GGSN_BREST,41,51
13/10/20 18,GGSN_BREST,42,51
13/10/20 19,GGSN_BREST,43,51
13/10/20 20,GGSN_BREST,45,51
13/10/20 21,GGSN_BREST,47,51
13/10/20 22,GGSN_BREST,42,51
13/10/20 23,GGSN_BREST,38,51
14/10/20 00,GGSN_BREST,31,51
14/10/20 01,GGSN_BREST,34,51
14/10/20 02,GGSN_BREST,33,51
14/10/20 03,GGSN_BREST,32,51
14/10/20 04,GGSN_BREST,33,51
14/10/20 05,GGSN_BREST,33,51
14/10/20 06,GGSN_BREST,26,51
14/10/20 07,GGSN_BREST,33,51
14/10/20 08,GGSN_BREST,35,51
14/10/20 09,GGSN_BREST,36,51
14/10/20 10,GGSN_BREST,39,51
14/10/20 11,GGSN_BREST,42,51
14/10/20 12,GGSN_BREST,41,51
14/10/20 13,GGSN_BREST,39,51
14/10/20 14,GGSN_BREST,47,51
14/10/20 15,GGSN_BREST,43,51
14/10/20 16,GGSN_BREST,41,51
14/10/20 17,GGSN_BREST,40,51
14/10/20 18,GGSN_BREST,41,51
14/10/20 19,GGSN_BREST,44,51
14/10/20 20,GGSN_BREST,44,51
14/10/20 21,GGSN_BREST,42,51
14/10/20 22,GGSN_BREST,45,51
14/10/20 23,GGSN_BREST,40,51
15/10/20 00,GGSN_BREST,35,51
15/10/20 01,GGSN_BREST,29,51
15/10/20 02,GGSN_BREST,35,51
15/10/20 03,GGSN_BREST,34,51
